,title,link,view,age
0,INDIAN FOOD MAGIC | CARRYMINATI,https://www.youtube.com//watch?v=-LIMVVfRp6Q,26M views,3 months ago
1,GETTING MARRIED? QNA 2022 | CARRYMINATI,https://www.youtube.com//watch?v=G6qLfTA2PFw,19M views,5 months ago
2,THARA BHAiiiii | CARRYMINATI,https://www.youtube.com//watch?v=0jUj3rfO7eM,45M views,6 months ago
3,METUBE SPACE | CARRYMINATI,https://www.youtube.com//watch?v=xLjMzNKUXKs,18M views,8 months ago
4,CANCEL CULTURE ORGANIZATION | CARRYMINATI,https://www.youtube.com//watch?v=Q9eh308Mstc,21M views,10 months ago
5,SOCIAL MEDIA CULTURE | CARRYMINATI,https://www.youtube.com//watch?v=ZAvKl1RRVh8,21M views,10 months ago
6,THE LAND OF BIGG BOSS | CARRYMINATI,https://www.youtube.com//watch?v=d7sewLjzNs0,48M views,1 year ago
7,VARDAAN - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=7mFvyrNHZRY,62M views,1 year ago
8,MASSAGE PARADISE,https://www.youtube.com//watch?v=W2uUlW8PLOY,38M views,1 year ago
9,IDLES OF INDIA: GONE RIGHT,https://www.youtube.com//watch?v=abhuAYtmk58,43M views,1 year ago
10,THE ART OF BAD WORDS,https://www.youtube.com//watch?v=q2QvA3wwAe0,45M views,2 years ago
11,YALGAAR - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=zzwRbKI2pn4,306M views,2 years ago
12,YALGAAR....COMING SOON,https://www.youtube.com//watch?v=WUdo9lzpaas,38M views,2 years ago
13,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,https://www.youtube.com//watch?v=YXlRTFhfE_4,76M views,2 years ago
14,WARRIOR - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=WNWZNyXSvW0,15M views,2 years ago
15,FILM THE FLARE,https://www.youtube.com//watch?v=GOFQN8otiYs,52M views,2 years ago
16,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,https://www.youtube.com//watch?v=WcjMwfwfojQ,27M views,2 years ago
17,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,https://www.youtube.com//watch?v=9DAKh_XCk6g,64M views,2 years ago
18,Zindagi - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=0Cyvhz1GmRI,32M views,2 years ago
19,LADKA LADKI AUR WOH | CARRYMINATI,https://www.youtube.com//watch?v=ARKlB5Roq14,29M views,2 years ago
20,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,https://www.youtube.com//watch?v=SE7Yx_b0bE8,45M views,2 years ago
21,TALENTED PEOPLE OF VIGO | CARRYMINATI,https://www.youtube.com//watch?v=zIysUw3B3Gs,37M views,2 years ago
22,CUTE GIRLS PRANK | CARRYMINATI,https://www.youtube.com//watch?v=7x9OmRGtF4E,43M views,2 years ago
23,wildest parties by carry minati,https://www.youtube.com//watch?v=bHLJjgzCDzU,34M views,2 years ago
24,I JUMPED OFF A PLANE | CARRYMINATI QnA 2019,https://www.youtube.com//watch?v=U8qEsK3liMI,13M views,3 years ago
25,TIKTOK EVOLUTION 2019 | CARRYMINATI,https://www.youtube.com//watch?v=uyFxLg_LYU0,69M views,3 years ago
26,SCHOOL TRIP OF THE YEAR,https://www.youtube.com//watch?v=0MpVfUK9uho,19M views,3 years ago
27,TRIGGER - CARRYMINATI X VIBGYOR,https://www.youtube.com//watch?v=pJZTizXITW0,23M views,3 years ago
28,NO MORE SINGLE: VALENTINE SPECIAL FEAT ROCKY,https://www.youtube.com//watch?v=_575JFx6Iq4,63M views,3 years ago
29,MY REAL AGE | QNA 2019,https://www.youtube.com//watch?v=4DOHUzTdS_8,13M views,3 years ago
30,Bye Pewdiepie | Carryminati,https://www.youtube.com//watch?v=2QBsDH72MoM,59M views,3 years ago
31,WEDDING OF THE YEAR (I'M INVITED!),https://www.youtube.com//watch?v=XvyKSWfxM_w,48M views,3 years ago
32,Big Boss pART 1,https://www.youtube.com//watch?v=n2VL8tGZSsA,36M views,3 years ago
33,PUBG INDIA: LIFE BATTLE ROYALE,https://www.youtube.com//watch?v=10y9yefd_xY,39M views,3 years ago
34,INDIAN KID MEETS TOM CRUISE,https://www.youtube.com//watch?v=1x2K9Rie2Vg,31M views,4 years ago
35,HOW TO GET MODERN LOVE,https://www.youtube.com//watch?v=6LjPVsA_INg,23M views,4 years ago
36,THE PERFECT BRIDE,https://www.youtube.com//watch?v=wrmEZFSeOJo,27M views,4 years ago
37,QnA 2018,https://www.youtube.com//watch?v=qAt4__lG0es,8.7M views,4 years ago
38,English U.S.,https://www.youtube.com//watch?v=fUTyUjYldqg,18M views,4 years ago
39,SANGEET BHOJPURI,https://www.youtube.com//watch?v=nCNXaH67B-w,24M views,4 years ago
40,SOUTH INDIAN ACTION,https://www.youtube.com//watch?v=Hm32viIpFqk,20M views,4 years ago
41,Success Story Of A Cringe Pop Artist,https://www.youtube.com//watch?v=iP-wzsu8pKw,43M views,4 years ago
42,HUMANS EVOLVED TOO FAR,https://www.youtube.com//watch?v=rqNHHY1Ni_c,9.3M views,4 years ago
43,THE MOST FEARED TRIBE,https://www.youtube.com//watch?v=L1AuR4NORTk,10M views,4 years ago
44,The Almighty Stranger,https://www.youtube.com//watch?v=x4gQHzfLKsg,14M views,4 years ago
45,THE TIME WE TRANSFORM,https://www.youtube.com//watch?v=j8LTjzih2sQ,10M views,4 years ago
46,ANSWERING SOME THINGS (QnA),https://www.youtube.com//watch?v=2xrcas1YDkU,11M views,4 years ago
47,WHEN A MERMAID HITS PUBERTY,https://www.youtube.com//watch?v=vWI6cixIDsg,14M views,4 years ago
48,THESE SUPERSTITIONS WILL MAKE YOU RICH,https://www.youtube.com//watch?v=2ygclkWHo8w,11M views,4 years ago
49,TIME TO PUT A FULL STOP,https://www.youtube.com//watch?v=X5_Pj-ooYgA,11M views,4 years ago
50,A NEW BREED IS BORN,https://www.youtube.com//watch?v=uASM7aFcQJ8,20M views,4 years ago
51,MSG: A NATURAL DISASTER,https://www.youtube.com//watch?v=lZC45nxzH7Q,31M views,4 years ago
52,DISCOVERY OF A NEW CREATURE,https://www.youtube.com//watch?v=Xl1jzveTsrk,47M views,4 years ago
53,RETURN OF RAPPERS,https://www.youtube.com//watch?v=vCDj8LDKbRE,18M views,4 years ago
54,ILLUMINATI THE TRUTH,https://www.youtube.com//watch?v=DCqty4-VjZc,13M views,4 years ago
55,YES THIS IS WEIRD,https://www.youtube.com//watch?v=t7VkeCAAC_0,10M views,5 years ago
56,BEST REALITY SHOW IN THE WORLD,https://www.youtube.com//watch?v=xRaWi15qJks,27M views,5 years ago
57,THE TIME HAS COME (QnA),https://www.youtube.com//watch?v=2pLwfRxFsOk,13M views,5 years ago
58,Peer pressure,https://www.youtube.com//watch?v=8irzPQlBpCE,6.2M views,5 years ago
59,CAN THIS BE A THING?,https://www.youtube.com//watch?v=X8crHN5ys_8,5M views,5 years ago
60,MEET THE LEGEND OF THIS CENTURY,https://www.youtube.com//watch?v=235T1AZ4LVk,22M views,5 years ago
61,SCHOOL HOLIDAYS,https://www.youtube.com//watch?v=2T97za0Ifek,8.3M views,5 years ago
62,MY ROOM TOUR 2017,https://www.youtube.com//watch?v=eaqda5fdGbk,6.6M views,5 years ago
63,"""HOT"" GIRL OFFERS MILK",https://www.youtube.com//watch?v=LX7Ui4yiKcc,29M views,5 years ago
64,THE ORIGIN OF SPIKES,https://www.youtube.com//watch?v=Qmp7eLkcsJY,5.3M views,5 years ago
65,Bahubali Parody Parody,https://www.youtube.com//watch?v=q-WeXbLdmVw,6.9M views,5 years ago
66,BAD WORDS,https://www.youtube.com//watch?v=goBf8fbvtX0,16M views,5 years ago
67,YOU ASKED FOR THIS,https://www.youtube.com//watch?v=-aT6tp03RWs,11M views,5 years ago
68,E.X.A.M.S,https://www.youtube.com//watch?v=oilFiLwY4Ks,13M views,5 years ago
69,THIS IS YOUR VALENTINE,https://www.youtube.com//watch?v=R8w1MyFup5U,9.7M views,5 years ago
70,BEST THING ON THIS PLANET,https://www.youtube.com//watch?v=vuuA-Gk4tY4,7.5M views,5 years ago
71,MARRY YOUR DREAM PARTNER,https://www.youtube.com//watch?v=dRbMIQhz3Jc,8.6M views,5 years ago
72,"""HAREE OM"" THIS IS ENOUGH PLEASE STOP",https://www.youtube.com//watch?v=i4_ls_IXtHE,21M views,5 years ago
73,"""BOOZE BOOZE BOOZE"" SHE IS BACK",https://www.youtube.com//watch?v=y7YDLFcdVEQ,28M views,5 years ago
74,RAP STAR ON PEAK,https://www.youtube.com//watch?v=16cIpE1kMkg,14M views,5 years ago
75,EK AURAT,https://www.youtube.com//watch?v=_8B_fn0V-fI,2.6M views,5 years ago
76,WORST START OF THE YEAR,https://www.youtube.com//watch?v=IC-PYVeQoLg,7.8M views,5 years ago
77,1 BILLION DIRHAM SETUP TOUR,https://www.youtube.com//watch?v=F7J8onqdO64,12M views,5 years ago
78,THE END OF SOMETHING BEAUTIFUL,https://www.youtube.com//watch?v=xGy-0fOvqx0,7.6M views,5 years ago
79,INDIAN CHRISTMAS RANT,https://www.youtube.com//watch?v=5uywiAw8ghk,4M views,5 years ago
80,HOMELESS SEXIST GHOST,https://www.youtube.com//watch?v=7bctKsYE9S0,8.7M views,5 years ago
81,THE MEANING OF LIFE,https://www.youtube.com//watch?v=s420d6L5_WQ,2.7M views,5 years ago
82,BEST DADDY FOR YOUR DAUGHTER,https://www.youtube.com//watch?v=ubjiYEPkw7M,7.3M views,5 years ago
83,THE CLOSEST HUMAN TO GOD,https://www.youtube.com//watch?v=D-D_G3eaMwM,17M views,5 years ago
84,YOUTUBE TRENDING PAGE,https://www.youtube.com//watch?v=qDA34A5JRYY,9.2M views,5 years ago
85,THE AWESOME PLACE WE CALL SCHOOL,https://www.youtube.com//watch?v=YsiR5lTpVUs,9.1M views,5 years ago
86,THE DARK ADULT SIDE OF YOUTHOOB,https://www.youtube.com//watch?v=xl3so49L36I,8.9M views,5 years ago
87,"""SONAM GUPTA BEWAFA HAI"" PLEASE STOP WORST TREND 2016",https://www.youtube.com//watch?v=UHrcvX5OzZU,9.2M views,5 years ago
88,EVERYBODY WANTS KATRINA CAT,https://www.youtube.com//watch?v=fukuGuB60ME,9.3M views,5 years ago
89,BLACK AND WHITE (NEW INDIAN POLICY),https://www.youtube.com//watch?v=MrPU3YaQqWg,4.7M views,5 years ago
90,MUSIC INDUSTRY ON PEAK,https://www.youtube.com//watch?v=F4SLupUxDZc,6.2M views,5 years ago
91,ADULT NOT SO HORROR MOVIE,https://www.youtube.com//watch?v=bLZ9CSYS7io,5.1M views,5 years ago
92,GOLD DIGGER PRANKS - THE MONEY MAKING MACHINE OF YOUTUBE,https://www.youtube.com//watch?v=MY92jDkFadI,9.1M views,5 years ago
93,ANOTHER SHITTY FACECAM VIDEO,https://www.youtube.com//watch?v=SptBuN60HgY,5M views,5 years ago
94,PPAP Pen Pineapple Apple Pen PLEASE STOP,https://www.youtube.com//watch?v=J5mFo6Y52pY,8.6M views,5 years ago
95,INDIANS FINDING LOVE PARTNER,https://www.youtube.com//watch?v=YVSkgKC7oU8,9M views,5 years ago
96,NON VEG JOKES FOR KIDS,https://www.youtube.com//watch?v=Ww1Thfrc2OM,13M views,5 years ago
97,MICHEAL JACKSON HAS A NEW LIFE,https://www.youtube.com//watch?v=BoPlMgJA54Q,7.9M views,5 years ago
98,MUMMY DADDY PRANK,https://www.youtube.com//watch?v=h4DJF0aGLso,10M views,5 years ago
99,SUPERNATURAL SWAG,https://www.youtube.com//watch?v=PNnmYc-bbkU,5M views,5 years ago
100,EMBRACING THE HATE (FACECAM),https://www.youtube.com//watch?v=_EZJaowB-2c,22M views,5 years ago
101,I DID SOMETHING BAD,https://www.youtube.com//watch?v=VZ4qmL7PtDQ,3.9M views,5 years ago
102,FIGHTING YOUR OWN SWAG,https://www.youtube.com//watch?v=y9hhMrgtACw,13M views,5 years ago
103,INDIAN WOMEN GETTING HIGH,https://www.youtube.com//watch?v=yXKUiw2ui3Q,1M views,5 years ago
104,THIS IS NOT A DARING SHOW,https://www.youtube.com//watch?v=D87koIMI1YU,9.7M views,5 years ago
105,AESTHETIC SHAKTIMAAN,https://www.youtube.com//watch?v=9fMjLJ8qdEc,6.7M views,5 years ago
106,HOW MUCH MONEY DO I MAKE ? QNA (FACECAM),https://www.youtube.com//watch?v=bPLbQ9601FY,8.1M views,5 years ago
107,LET THE FUN BEGIN,https://www.youtube.com//watch?v=jP7r3_BRznw,3.6M views,5 years ago
108,THIS IS SEXUALLY WEIRD,https://www.youtube.com//watch?v=-DYEW-UMUe0,12M views,5 years ago
109,50 LAYERS OF CHEESE,https://www.youtube.com//watch?v=AAJuy-44Igc,4.1M views,5 years ago
110,THE RETURN,https://www.youtube.com//watch?v=knbj62oWcdU,6.9M views,5 years ago
111,Roast Of NAZAR BATTU,https://www.youtube.com//watch?v=Q-M3A1diwzg,6.1M views,5 years ago
112,GETTING FAMOUS WITH BB KI VINES,https://www.youtube.com//watch?v=5wh-0qYz-Bs,23M views,6 years ago
113,PROPOSING MALE AND WOMEN,https://www.youtube.com//watch?v=IoUW5eA0Eb4,5.5M views,6 years ago
114,ROASTING ALL INDIA BAKCHOD,https://www.youtube.com//watch?v=bYM0wlkxv7E,5.5M views,6 years ago
115,THIS IS TOO MUCH,https://www.youtube.com//watch?v=K_VYLG2brqQ,3M views,6 years ago
116,POHA IS LOVE POHA IS LIFE,https://www.youtube.com//watch?v=z1LKXjgqSms,3.1M views,6 years ago
117,GOLD DIGGER (GONE VERY VERY SEXY),https://www.youtube.com//watch?v=0XhI2G3lOr4,7M views,6 years ago
118,GIRL WITH SWEG,https://www.youtube.com//watch?v=MoFN-z4i8Cc,6.9M views,6 years ago
119,THE PERFECT PARTNER,https://www.youtube.com//watch?v=UoKumsVdgo8,5.7M views,6 years ago
120,INDIANS WITH FAKE ACCENT,https://www.youtube.com//watch?v=RAE_ztN0BGg,5M views,6 years ago
121,BEST PAKISTANI SHOW,https://www.youtube.com//watch?v=KuD9C1mf1nM,19M views,6 years ago
122,HOT BIKINI SEX,https://www.youtube.com//watch?v=uY_dOShhBwU,14M views,6 years ago
123,69 SUBSCRIBERS SPECIAL QnA,https://www.youtube.com//watch?v=ZuvV7tNko00,15M views,6 years ago
124,THE ART OF SATISFACTION,https://www.youtube.com//watch?v=QodVmUpDvFI,3.9M views,6 years ago
125,SASTE NASHE OVERDOSE,https://www.youtube.com//watch?v=k3UwbcFC4G4,4.2M views,6 years ago
126,EVERY INDIAN P.E TEACHERS,https://www.youtube.com//watch?v=QQ-8PigNLw0,5.4M views,6 years ago
127,MAKING MONEY WITH BB KI VINES,https://www.youtube.com//watch?v=GlnRsfP2TfU,12M views,6 years ago
128,EVERYTHING WRONG WITH INDIAN SCHOOLS,https://www.youtube.com//watch?v=eK1yIiwuPQ8,11M views,6 years ago
129,INDIA CENSOR BOARD,https://www.youtube.com//watch?v=spK65qW2LXI,4.6M views,6 years ago
130,SEXY BLACK MAGIC (GONE SEXUAL),https://www.youtube.com//watch?v=wYmfd6l9zfY,3.3M views,6 years ago
131,5 INDIAN SUPERSTITIONS THAT MAKE NO SENSE !,https://www.youtube.com//watch?v=USgXASoPEUw,3.7M views,6 years ago
132,I VERY VERY LOVE YOU,https://www.youtube.com//watch?v=BdPeHSEogAw,13M views,6 years ago
133,HOW TO SURVIVE IN A JUNGLE,https://www.youtube.com//watch?v=LSvBaoVfACs,3.2M views,6 years ago
134,I WANT A GIRL,https://www.youtube.com//watch?v=LxoiSBzFlis,12M views,6 years ago
135,SPANKING  ASS (GONE RIGHT),https://www.youtube.com//watch?v=Zno-9YozqR8,3M views,6 years ago
136,KISS ANY GIRL YOU WANT,https://www.youtube.com//watch?v=wrmB4_GQNIE,6.4M views,6 years ago
137,KIDS ARE BEAUTIFUL,https://www.youtube.com//watch?v=tjIESEG7F_s,3.7M views,6 years ago
138,LOUD NOISES,https://www.youtube.com//watch?v=wAXmvalOulU,3.1M views,6 years ago
139,FATHER OF NONE RETURNS,https://www.youtube.com//watch?v=A8OHfGKq6RM,5.9M views,6 years ago
140,SEXY RICH VIDEO,https://www.youtube.com//watch?v=QHZCIyGsbjs,11M views,6 years ago
141,GUJJAR GOES WILD,https://www.youtube.com//watch?v=hLIgcBi3WUA,3.7M views,6 years ago
142,WONNA BE HONEY SINGH,https://www.youtube.com//watch?v=YKZdNybLX9E,3.7M views,6 years ago
143,ANSWERING YOU,https://www.youtube.com//watch?v=0PO_i_ilRsQ,1.8M views,6 years ago
144,GOOD BAD BOY,https://www.youtube.com//watch?v=XCXVP_VZ40g,4.8M views,6 years ago
145,HAVE SEX WITH ANYONE,https://www.youtube.com//watch?v=74ln1svRWPo,3.1M views,6 years ago
146,CANT LIVE LONG,https://www.youtube.com//watch?v=_2EgadGNebo,1.9M views,6 years ago
147,CAN I ASK A QUESTION,https://www.youtube.com//watch?v=JFml3f6h9dQ,4.5M views,6 years ago
148,GUJJAR SWEG RAP,https://www.youtube.com//watch?v=qGDULSO2oRw,1.8M views,6 years ago
149,being osum,https://www.youtube.com//watch?v=HoC9zSbGzKM,2.7M views,6 years ago
150,GETTING GIRLFREND DEFINITELY WORKOUTS,https://www.youtube.com//watch?v=xQCs_XnNNAU,3.6M views,6 years ago
151,SAVE HUMANITITIES,https://www.youtube.com//watch?v=P1ffVL-REK4,1.5M views,6 years ago
152,WONNA BE ANGEL,https://www.youtube.com//watch?v=73RAmuqeoNY,3.9M views,6 years ago
153,SMELL SWAG IN THIS MUSIC VIDEO,https://www.youtube.com//watch?v=OtiLpVCK5uQ,3.1M views,6 years ago
154,NEW GEN RAP RETURN OF GUJJAR BOYS,https://www.youtube.com//watch?v=EJDf36W8HWU,6.7M views,6 years ago
155,AUNTY FETISH RAP,https://www.youtube.com//watch?v=TdJcK6X4Cb8,6.4M views,6 years ago
156,ANSWER ME,https://www.youtube.com//watch?v=YIXc2jBnMPE,3.4M views,6 years ago
157,When Indian Sings English Songs,https://www.youtube.com//watch?v=6WqXUa32e20,1.6M views,6 years ago
158,Ear Bleeding Prank in India,https://www.youtube.com//watch?v=5ScKuMUlgac,795K views,6 years ago
159,Dobby vs Indian Guy (Gone Bollywood),https://www.youtube.com//watch?v=hwj9izAIHAE,1.4M views,6 years ago
160,Suxy Punjabi Song (Gone Autotune),https://www.youtube.com//watch?v=zOQE0KKn6tM,4.3M views,6 years ago
161,Lets Make Girls Weird Prank,https://www.youtube.com//watch?v=0i3pmQcFUe8,1.7M views,6 years ago
162,Swaggiest RapStar in Mumbai (Gone Sexual),https://www.youtube.com//watch?v=v_714taFT74,1.7M views,6 years ago
163,This is A QnA Video,https://www.youtube.com//watch?v=tVOesugd7xA,1M views,6 years ago
164,WWE Extreme Bakchod Style,https://www.youtube.com//watch?v=syc-2QYauTI,3.6M views,6 years ago
165,Make your Eyes Bleed,https://www.youtube.com//watch?v=mpynGYPZ0Co,1.5M views,6 years ago
166,How to Propose a Girl Pro Style.,https://www.youtube.com//watch?v=ZGNlpdW6WFA,1.9M views,6 years ago
167,Gujjar Boyz Rap Video ( Gone Rappy ),https://www.youtube.com//watch?v=Wj-mabJmcXU,4.4M views,6 years ago
168,Punjabi Rap Battle ( Gone Bakchod ),https://www.youtube.com//watch?v=EQUOmT4VVgc,5M views,6 years ago
169,BakChod E-Spidermaan,https://www.youtube.com//watch?v=qzAWlp2Ojfg,3.7M views,6 years ago
170,Pakistani Roadies !,https://www.youtube.com//watch?v=lK5InJJqexA,6.5M views,6 years ago
171,India's Weirdest Dance Ever on Youtube !,https://www.youtube.com//watch?v=yBnSHa454Ck,1.9M views,6 years ago
172,India's Adult Film of The Year !,https://www.youtube.com//watch?v=1jahMNJfRWU,11M views,6 years ago
173,KRK India's Best Film ACTOR/PRODUCER/CRITIC !,https://www.youtube.com//watch?v=SMTckPXgtcA,5.6M views,6 years ago
174,Indians That Torrent,https://www.youtube.com//watch?v=onGQzMX9BjE,2.9M views,6 years ago
175,INDIA CS:GO,https://www.youtube.com//watch?v=hs-Vg_ScHAw,3.2M views,6 years ago
176,COD GHOST RANT in Hindi,https://www.youtube.com//watch?v=EnHBmpLKSfg,3.3M views,7 years ago
